text,text_clean,token,stop,stemmed,sentiment
"Calon Presiden Indonesia Ganjar Pranowo bersilaturahmi ke DPW PPP saat melakukan safari politiknya di NTB.

#SahabatGanjar #GanjarUntukIndonesia #GanjarMenangTotal #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/31KaiFv6NY","calon presiden indonesia ganjar pranowo bersilaturahmi ke dpw ppp saat melakukan safari politiknya di ntb

sahabatganjar ganjaruntukindonesia ganjarmenangtotal menangkanganjar generasigotongroyong httpstcokaifvny","['calon', 'presiden', 'indonesia', 'ganjar', 'pranowo', 'bersilaturahmi', 'ke', 'dpw', 'ppp', 'saat', 'melakukan', 'safari', 'politiknya', 'di', 'ntb', 'sahabatganjar', 'ganjaruntukindonesia', 'ganjarmenangtotal', 'menangkanganjar', 'generasigotongroyong', 'httpstcokaifvny']","['calon', 'presiden', 'indonesia', 'ganjar', 'pranowo', 'bersilaturahmi', 'dpw', 'ppp', 'melakukan', 'safari', 'politiknya', 'ntb', 'sahabatganjar', 'ganjaruntukindonesia', 'ganjarmenangtotal', 'menangkanganjar', 'generasigotongroyong', 'httpstcokaifvny']","['calon', 'presiden', 'indonesia', 'ganjar', 'pranowo', 'bersilaturahmi', 'dpw', 'ppp', 'melakukan', 'safari', 'politiknya', 'ntb', 'sahabatganjar', 'ganjaruntukindonesia', 'ganjarmenangtotal', 'menangkanganjar', 'generasigotongroyong', 'httpstcokaifvny']",netral
"*KODE ALAM DAN TANDA ZAMAN SIAPA PRESIDEN RI KE 8*

Ini Mobil Ibu Fatmawati, isteri dari Bung Karno, Presiden RI ke 1, Ibu dari Megawati Soekarno Putri, Presiden RI ke 5 dan kemarin di tumpangi Ganjar Pranowo, Calon Presiden RI ke 8 ......

https://t.co/0zgE0qp5Sf https://t.co/JKkRKTLbHA","kode alam dan tanda zaman siapa presiden ri ke 

ini mobil ibu fatmawati isteri dari bung karno presiden ri ke  ibu dari megawati soekarno putri presiden ri ke  dan kemarin di tumpangi ganjar pranowo calon presiden ri ke  

httpstcozgeqpsf httpstcojkkrktlbha","['kode', 'alam', 'dan', 'tanda', 'zaman', 'siapa', 'presiden', 'ri', 'ke', 'ini', 'mobil', 'ibu', 'fatmawati', 'isteri', 'dari', 'bung', 'karno', 'presiden', 'ri', 'ke', 'ibu', 'dari', 'megawati', 'soekarno', 'putri', 'presiden', 'ri', 'ke', 'dan', 'kemarin', 'di', 'tumpangi', 'ganjar', 'pranowo', 'calon', 'presiden', 'ri', 'ke', 'httpstcozgeqpsf', 'httpstcojkkrktlbha']","['kode', 'alam', 'tanda', 'zaman', 'siapa', 'presiden', 'ri', 'mobil', 'ibu', 'fatmawati', 'isteri', 'bung', 'karno', 'presiden', 'ri', 'ibu', 'megawati', 'soekarno', 'putri', 'presiden', 'ri', 'kemarin', 'tumpangi', 'ganjar', 'pranowo', 'calon', 'presiden', 'ri', 'httpstcozgeqpsf', 'httpstcojkkrktlbha']","['kode', 'alam', 'tanda', 'zaman', 'siapa', 'presiden', 'ri', 'mobil', 'ibu', 'fatmawati', 'isteri', 'bung', 'karno', 'presiden', 'ri', 'ibu', 'megawati', 'soekarno', 'putri', 'presiden', 'ri', 'kemarin', 'tumpangi', 'ganjar', 'pranowo', 'calon', 'presiden', 'ri', 'httpstcozgeqpsf', 'httpstcojkkrktlbha']",netral
"@ch_chotimah2 Dulu waktu AHY calon gubernur di DKI Jakarta para pendukung Jokowi bilang ""Anak masih bau kencur dipaksa ikut Pilgub oleh SBY, lebih baik jd ketua RT dulu"".
.
Ini anak masih bau jigong mau dikutkan Pilkada Depok. Terus apa kata dunia ?","chchotimah dulu waktu ahy calon gubernur di dki jakarta para pendukung jokowi bilang anak masih bau kencur dipaksa ikut pilgub oleh sby lebih baik jd ketua rt dulu

ini anak masih bau jigong mau dikutkan pilkada depok terus apa kata dunia","['chchotimah', 'dulu', 'waktu', 'ahy', 'calon', 'gubernur', 'di', 'dki', 'jakarta', 'para', 'pendukung', 'jokowi', 'bilang', 'anak', 'masih', 'bau', 'kencur', 'dipaksa', 'ikut', 'pilgub', 'oleh', 'sby', 'lebih', 'baik', 'jd', 'ketua', 'rt', 'dulu', 'ini', 'anak', 'masih', 'bau', 'jigong', 'mau', 'dikutkan', 'pilkada', 'depok', 'terus', 'apa', 'kata', 'dunia']","['chchotimah', 'dulu', 'waktu', 'ahy', 'calon', 'gubernur', 'dki', 'jakarta', 'pendukung', 'jokowi', 'bilang', 'anak', 'bau', 'kencur', 'dipaksa', 'ikut', 'pilgub', 'sby', 'lebih', 'baik', 'jd', 'ketua', 'rt', 'dulu', 'anak', 'bau', 'jigong', 'mau', 'dikutkan', 'pilkada', 'depok', 'terus', 'apa', 'kata', 'dunia']","['chchotimah', 'dulu', 'waktu', 'ahy', 'calon', 'gubernur', 'dki', 'jakarta', 'pendukung', 'jokowi', 'bilang', 'anak', 'bau', 'kencur', 'dipaksa', 'ikut', 'pilgub', 'sby', 'lebih', 'baik', 'jd', 'ketua', 'rt', 'dulu', 'anak', 'bau', 'jigong', 'mau', 'dikutkan', 'pilkada', 'depok', 'terus', 'apa', 'kata', 'dunia']",netral
"Sang calon presiden Indonesia, Ganjar Pranowo telah tiba di Nusa Tenggara Barat dengan penuh seyum dan keramahan.

#SahabatGanjar #GanjarUntukIndonesia  #GanjarMenangTotal #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/zzdsNawGwq","sang calon presiden indonesia ganjar pranowo telah tiba di nusa tenggara barat dengan penuh seyum dan keramahan

sahabatganjar ganjaruntukindonesia  ganjarmenangtotal menangkanganjar generasigotongroyong httpstcozzdsnawgwq","['sang', 'calon', 'presiden', 'indonesia', 'ganjar', 'pranowo', 'telah', 'tiba', 'di', 'nusa', 'tenggara', 'barat', 'dengan', 'penuh', 'seyum', 'dan', 'keramahan', 'sahabatganjar', 'ganjaruntukindonesia', 'ganjarmenangtotal', 'menangkanganjar', 'generasigotongroyong', 'httpstcozzdsnawgwq']","['sang', 'calon', 'presiden', 'indonesia', 'ganjar', 'pranowo', 'tiba', 'nusa', 'tenggara', 'barat', 'penuh', 'seyum', 'keramahan', 'sahabatganjar', 'ganjaruntukindonesia', 'ganjarmenangtotal', 'menangkanganjar', 'generasigotongroyong', 'httpstcozzdsnawgwq']","['sang', 'calon', 'presiden', 'indonesia', 'ganjar', 'pranowo', 'tiba', 'nusa', 'tenggara', 'barat', 'penuh', 'seyum', 'keramahan', 'sahabatganjar', 'ganjaruntukindonesia', 'ganjarmenangtotal', 'menangkanganjar', 'generasigotongroyong', 'httpstcozzdsnawgwq']",netral
"Banyak tokoh yang digadang-gadang jadi calon wakil presiden (Cawapres) yang bersanding dengan Ganjar pada Pilpres 2024. .

 #Okezone #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/rl0WyAOaSA","banyak tokoh yang digadanggadang jadi calon wakil presiden cawapres yang bersanding dengan ganjar pada pilpres  

 okezone beritaterkini berita news beritanasional  httpstcorlwyaoasa","['banyak', 'tokoh', 'yang', 'digadanggadang', 'jadi', 'calon', 'wakil', 'presiden', 'cawapres', 'yang', 'bersanding', 'dengan', 'ganjar', 'pada', 'pilpres', 'okezone', 'beritaterkini', 'berita', 'news', 'beritanasional', 'httpstcorlwyaoasa']","['banyak', 'tokoh', 'digadanggadang', 'jadi', 'calon', 'wakil', 'presiden', 'cawapres', 'bersanding', 'ganjar', 'pilpres', 'okezone', 'beritaterkini', 'berita', 'news', 'beritanasional', 'httpstcorlwyaoasa']","['banyak', 'tokoh', 'digadanggadang', 'jadi', 'calon', 'wakil', 'presiden', 'cawapres', 'bersanding', 'ganjar', 'pilpres', 'okezone', 'beritaterkini', 'berita', 'news', 'beritanasional', 'httpstcorlwyaoasa']",netral
Ganjar Pranowo mengajak partai politik pendukungnya untuk mengajukan nama calon wakil presiden (cawapres) guna dibahas bersama-sama. #GanjarSatukanRIKuat #BongkarKasusAncol bruno mars Ginting Onad https://t.co/pgcD2N4QMP,ganjar pranowo mengajak partai politik pendukungnya untuk mengajukan nama calon wakil presiden cawapres guna dibahas bersamasama ganjarsatukanrikuat bongkarkasusancol bruno mars ginting onad httpstcopgcdnqmp,"['ganjar', 'pranowo', 'mengajak', 'partai', 'politik', 'pendukungnya', 'untuk', 'mengajukan', 'nama', 'calon', 'wakil', 'presiden', 'cawapres', 'guna', 'dibahas', 'bersamasama', 'ganjarsatukanrikuat', 'bongkarkasusancol', 'bruno', 'mars', 'ginting', 'onad', 'httpstcopgcdnqmp']","['ganjar', 'pranowo', 'mengajak', 'partai', 'politik', 'pendukungnya', 'mengajukan', 'nama', 'calon', 'wakil', 'presiden', 'cawapres', 'dibahas', 'bersamasama', 'ganjarsatukanrikuat', 'bongkarkasusancol', 'bruno', 'mars', 'ginting', 'onad', 'httpstcopgcdnqmp']","['ganjar', 'pranowo', 'mengajak', 'partai', 'politik', 'pendukungnya', 'mengajukan', 'nama', 'calon', 'wakil', 'presiden', 'cawapres', 'dibahas', 'bersamasama', 'ganjarsatukanrikuat', 'bongkarkasusancol', 'bruno', 'mars', 'ginting', 'onad', 'httpstcopgcdnqmp']",netral
"Bakal calon presiden (bacapres) dari Partai Gerindra ini memasuki area acara sekitar pukul 10.17 WIB. Saat PrabowoAja datang, salah satu pemuka agama, Habib Ridho, sedang menyampaikan agenda acara Ziarah Akbar.
#KitaSemuaBersatu #NeruskePakdhe Prabowo Subianto","bakal calon presiden bacapres dari partai gerindra ini memasuki area acara sekitar pukul  wib saat prabowoaja datang salah satu pemuka agama habib ridho sedang menyampaikan agenda acara ziarah akbar
kitasemuabersatu neruskepakdhe prabowo subianto","['bakal', 'calon', 'presiden', 'bacapres', 'dari', 'partai', 'gerindra', 'ini', 'memasuki', 'area', 'acara', 'sekitar', 'pukul', 'wib', 'saat', 'prabowoaja', 'datang', 'salah', 'satu', 'pemuka', 'agama', 'habib', 'ridho', 'sedang', 'menyampaikan', 'agenda', 'acara', 'ziarah', 'akbar', 'kitasemuabersatu', 'neruskepakdhe', 'prabowo', 'subianto']","['bakal', 'calon', 'presiden', 'bacapres', 'partai', 'gerindra', 'memasuki', 'area', 'acara', 'pukul', 'wib', 'prabowoaja', 'datang', 'salah', 'satu', 'pemuka', 'agama', 'habib', 'ridho', 'sedang', 'menyampaikan', 'agenda', 'acara', 'ziarah', 'akbar', 'kitasemuabersatu', 'neruskepakdhe', 'prabowo', 'subianto']","['bakal', 'calon', 'presiden', 'bacapres', 'partai', 'gerindra', 'memasuki', 'area', 'acara', 'pukul', 'wib', 'prabowoaja', 'datang', 'salah', 'satu', 'pemuka', 'agama', 'habib', 'ridho', 'sedang', 'menyampaikan', 'agenda', 'acara', 'ziarah', 'akbar', 'kitasemuabersatu', 'neruskepakdhe', 'prabowo', 'subianto']",netral
"@yodisss Seneng bgt nih pasti masyarakat Lombok disambangi sama calon presiden kita ini
#GPdiPulauSeribuMasjid","yodisss seneng bgt nih pasti masyarakat lombok disambangi sama calon presiden kita ini
gpdipulauseribumasjid","['yodisss', 'seneng', 'bgt', 'nih', 'pasti', 'masyarakat', 'lombok', 'disambangi', 'sama', 'calon', 'presiden', 'kita', 'ini', 'gpdipulauseribumasjid']","['yodisss', 'seneng', 'bgt', 'nih', 'masyarakat', 'lombok', 'disambangi', 'sama', 'calon', 'presiden', 'gpdipulauseribumasjid']","['yodisss', 'seneng', 'bgt', 'nih', 'masyarakat', 'lombok', 'disambangi', 'sama', 'calon', 'presiden', 'gpdipulauseribumasjid']",netral
"Bakal calon presiden yang juga Menteri Pertahanan, Prabowo Subianto siang mengunjungi ulama yang juga anggota dewan pertimbangan presiden (Wantimpres), Habib Luthfi bin Yahya di Pekalongan. #KitaSemuaBersatu #NeruskePakdhe",bakal calon presiden yang juga menteri pertahanan prabowo subianto siang mengunjungi ulama yang juga anggota dewan pertimbangan presiden wantimpres habib luthfi bin yahya di pekalongan kitasemuabersatu neruskepakdhe,"['bakal', 'calon', 'presiden', 'yang', 'juga', 'menteri', 'pertahanan', 'prabowo', 'subianto', 'siang', 'mengunjungi', 'ulama', 'yang', 'juga', 'anggota', 'dewan', 'pertimbangan', 'presiden', 'wantimpres', 'habib', 'luthfi', 'bin', 'yahya', 'di', 'pekalongan', 'kitasemuabersatu', 'neruskepakdhe']","['bakal', 'calon', 'presiden', 'menteri', 'pertahanan', 'prabowo', 'subianto', 'siang', 'mengunjungi', 'ulama', 'anggota', 'dewan', 'pertimbangan', 'presiden', 'wantimpres', 'habib', 'luthfi', 'bin', 'yahya', 'pekalongan', 'kitasemuabersatu', 'neruskepakdhe']","['bakal', 'calon', 'presiden', 'menteri', 'pertahanan', 'prabowo', 'subianto', 'siang', 'mengunjungi', 'ulama', 'anggota', 'dewan', 'pertimbangan', 'presiden', 'wantimpres', 'habib', 'luthfi', 'bin', 'yahya', 'pekalongan', 'kitasemuabersatu', 'neruskepakdhe']",netral
"Mereka yg masih mempersoalkan seorang presiden/calon presiden gak bisa bahasa Inggris itu pasti belum tau kalau bahasa Inggris bukan syarat menjadi presiden,mereka juga pasti belum tau kalau presiden Amerika gak bisa bahasa Indonesia,perdana mentri Australia gak bisa bahasa cina",mereka yg masih mempersoalkan seorang presidencalon presiden gak bisa bahasa inggris itu pasti belum tau kalau bahasa inggris bukan syarat menjadi presidenmereka juga pasti belum tau kalau presiden amerika gak bisa bahasa indonesiaperdana mentri australia gak bisa bahasa cina,"['mereka', 'yg', 'masih', 'mempersoalkan', 'seorang', 'presidencalon', 'presiden', 'gak', 'bisa', 'bahasa', 'inggris', 'itu', 'pasti', 'belum', 'tau', 'kalau', 'bahasa', 'inggris', 'bukan', 'syarat', 'menjadi', 'presidenmereka', 'juga', 'pasti', 'belum', 'tau', 'kalau', 'presiden', 'amerika', 'gak', 'bisa', 'bahasa', 'indonesiaperdana', 'mentri', 'australia', 'gak', 'bisa', 'bahasa', 'cina']","['yg', 'mempersoalkan', 'seorang', 'presidencalon', 'presiden', 'gak', 'bahasa', 'inggris', 'tau', 'kalau', 'bahasa', 'inggris', 'bukan', 'syarat', 'menjadi', 'presidenmereka', 'tau', 'kalau', 'presiden', 'amerika', 'gak', 'bahasa', 'indonesiaperdana', 'mentri', 'australia', 'gak', 'bahasa', 'cina']","['yg', 'mempersoalkan', 'seorang', 'presidencalon', 'presiden', 'gak', 'bahasa', 'inggris', 'tau', 'kalau', 'bahasa', 'inggris', 'bukan', 'syarat', 'menjadi', 'presidenmereka', 'tau', 'kalau', 'presiden', 'amerika', 'gak', 'bahasa', 'indonesiaperdana', 'mentri', 'australia', 'gak', 'bahasa', 'cina']",netral
